用户名,时间,内容,点赞量
千鹤弥天,2024-01-10 20:14,"国际政治教科书的第一页就是，不要用人类的道德标准看国际政治，国际政治只有纯粹的利益关系。
即使是巴铁，也是站在过美国一侧的，只不过美国后来偏向印度所以巴铁才彻底倒向我们。现在巴铁的铁以及我国的援助也是建立在应对印度威胁的大前提下的。但是话说回来，因为两国体量差距过大，即使印度威胁消失了巴基斯坦也大概率会成为依附关系，整体来说两国关系还是相当稳定的🤔",524
了取昵称,2024-01-30 23:18,我更赞成你的说法。不过这是政治上的，人民之间在政治正常的时候的交流，还是不要代入政治比较好，尽可能保留人性的美好一面。,54
不止废话,2024-01-23 11:25,正是深知这份现实，才对这份独特情感异常珍惜。,14
涂鸦君装狗,2024-01-10 17:31,"这是我看过关于巴基斯坦最优质和最有营养的自媒视频。
一些自媒刻意去强调中巴明显的生活差距，对巴女性的物化和巴对中国人的仰慕优待，从而达到让某些中国人麻木地沉浸在虚无的优越感之中，同时转化成流量。那种无营养的视频只会加深对中巴关系不准确的固化印象，也会让观众离真正的中巴关系和现实状况越来越远。",420
坑坑洼洼ABC,2024-05-27 20:41,,0
无聊的升,2024-01-06 09:18,总结的很客观真实！！！看得出来up的努力，真的对这种经过思考的视频无法扺抗！可惜的是这种有营养的视频在当今浮躁的社会反而没有流量，能竖持看完视频的估计也比较少！但我就是可以坚持看完还能够被感动的其中一个，我为自己感到骄傲！感谢up！！！！,681
暴走兄弟,2024-01-07 22:47,谢谢,18
袁梓芊,2024-01-08 22:40,回复 @暴走兄弟 : 看完了，来个赞,4
阿咯诶BILI,2024-01-19 13:49,没错，现在非黑即白喊口号的短视频到处传播.. 真的恐怖,2
白水俗人9527,2024-01-10 13:23,我在新疆兵团，是第三代。直到大约几年前，我们种地才不用上缴。你理解上缴吧，带着恶意的说就是你吃不吃饭不重要，但是粮食优先支援国家。但要是不带恶意的说，肯定不会让你吃不上饭，只是有时候天灾让你一年可能负债，明年继续生存努力干好。有点夸张，但往前几十年甚至一代，都是这样。是不是感觉有点惨？但退休一个月基本在3000以上。小城镇建设超过大多数地方，果树棉花和技术扶持，水利电价又让你觉得在这养老挺美。比我去内地看到到的大多数农村好太多。有利有弊，一代付出下一代受益，不知不觉就超过很多地方。,43
